"112年10月 1104 環泥             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","529,488","13,737,994","26.00","26.10","25.85","25.95","-0.10","474",
"112/10/03","482,634","12,526,786","25.95","26.05","25.85","25.90","-0.05","312",
"112/10/04","1,293,685","33,021,463","25.90","25.90","25.35","25.45","-0.45","1,031",
"112/10/05","313,572","8,033,515","25.45","25.70","25.45","25.65","+0.20","336",
"112/10/06","347,134","8,934,547","25.80","25.85","25.55","25.80","+0.15","307",
"112/10/11","887,121","22,621,964","25.90","25.90","25.35","25.50","-0.30","781",
"112/10/12","611,690","15,820,341","25.80","26.05","25.60","25.95","+0.45","505",
"112/10/13","578,354","15,056,409","25.95","26.15","25.90","25.95"," 0.00","459",
"112/10/16","376,774","9,728,477","25.80","25.90","25.70","25.90","-0.05","305",
"112/10/17","454,900","11,755,228","25.95","26.05","25.60","25.65","-0.25","437",
"112/10/18","1,216,092","31,362,307","25.65","26.00","25.40","26.00","+0.35","576",
"112/10/19","513,139","13,111,250","25.85","25.85","25.45","25.50","-0.50","461",
"112/10/20","507,805","12,838,954","25.70","25.70","25.15","25.30","-0.20","439",
"112/10/23","236,723","5,996,575","25.30","25.45","25.20","25.25","-0.05","231",
"112/10/24","249,575","6,336,950","25.30","25.50","25.25","25.50","+0.25","236",
"112/10/25","155,098","3,967,755","25.50","25.65","25.45","25.55","+0.05","203",
"112/10/26","345,114","8,743,291","25.45","25.45","25.20","25.30","-0.25","343",
"112/10/27","240,704","6,122,515","25.30","25.55","25.30","25.35","+0.05","206",
"112/10/30","219,544","5,573,664","25.40","25.50","25.35","25.45","+0.10","222",
"112/10/31","311,454","7,922,247","25.40","25.60","25.35","25.35","-0.10","239",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
